snapshot,SE-N hydro,SE-S hydro,NO-N hydro,NO-S hydro,FI hydro
2023-01-12 06:00:00,15943580.983372096,5055063.193013937,35403199.329746544,39581466.400666855,1080550.496791464
2023-01-12 09:00:00,15942724.334620692,5040179.551094315,35411030.727180816,39586949.148042545,1082882.0837800233
2023-01-12 12:00:00,15941014.147393094,5024117.144821551,35418358.9243111,39592472.960420124,1084099.0080051585
2023-01-12 15:00:00,15938286.853221495,5008054.738548786,35421327.7973426,39598791.48238413,1084045.2468392989
2023-01-12 18:00:00,15935050.732991986,5012992.332276022,35419311.61204373,39589124.130482,1086733.846243242
2023-01-12 21:00:00,15939702.349944426,5017929.926003258,35414282.55650546,39622004.19627924,1091749.794300705
2023-01-13 00:00:00,15947400.663107665,5022869.480297859,35407771.41529749,39655385.49181546,1096763.472381582
2023-01-13 03:00:00,15949537.426098118,5027809.03459246,35400236.677101724,39687687.1315211,1101777.150462459
2023-01-13 06:00:00,15945816.372341424,5032748.588887061,35390744.873184994,39682877.52687736,1101092.4924959699
2023-01-13 09:00:00,15942095.31858473,5019915.532208739,35381825.921831265,39697737.66831597,1099860.6690643146
2023-01-13 12:00:00,15938374.264828037,5009298.183662924,35373928.50629801,39709686.10812038,1098140.005659406
2023-01-13 15:00:00,15934653.211071344,5014237.737957525,35367165.48798837,39701970.52266548,1095450.6949333067
2023-01-13 18:00:00,15930932.15731465,5002423.848839952,35361543.75911012,39719613.89772857,1093550.2332043212
2023-01-13 21:00:00,15927211.103557957,4997096.957077741,35358477.56685749,39739742.29478207,1093799.792799032
2023-01-14 00:00:00,15928225.610430144,5002038.5631375285,35355789.803330824,39774092.815219805,1098811.022709054
2023-01-14 03:00:00,15929029.825589692,5006980.169197316,35349915.3822529,39807461.66137216,1103822.2526190758
2023-01-14 06:00:00,15925301.469118549,4992186.070588271,35342738.42901136,39824929.871815175,1101001.626941313
2023-01-14 09:00:00,15921573.112647405,4996684.331472902,35336365.01165352,39819643.642259076,1096694.1652011941
2023-01-14 12:00:00,15917844.756176261,4997657.896955729,35332894.90058479,39851117.62960826,1097297.148183375
2023-01-14 15:00:00,15914116.399705118,4996319.983247207,35335934.90090915,39882335.24045931,1096683.5370276175
2023-01-14 18:00:00,15910388.043233974,5001261.589306994,35342185.649430715,39914871.338284954,1095773.7339662395
